uhn	draft	vote	urban	gender	age	party
5210	"CRC draft"	"Vote for"	"Rural"	"Female"	37	"ccm"
5212	"Final draft"	"Vote for"	"Rural"	"Female"	48	"ccm"
5301	"Final draft"	"Vote for"	"Urban"	"Female"	42	"nccr-mag"
5302	"Don't Know"	"Vote for"	"Urban"	"Male"	35	"cuf"
5303	"Final draft"	"Vote for"	"Urban"	"Male"	30	"chadema"
5304	"CRC draft"	"Vote against"	"Urban"	"Female"	41	"ccm"
5305	"CRC draft"	"Vote for"	"Urban"	"Male"	54	" none"
5306	"Don't Know"	"Vote for"	"Urban"	"Male"	72	"ccm"
5308	"Final draft"	"Vote for"	"Urban"	"Male"	62	"chadema"
5309	"Final draft"	"Vote for"	"Urban"	"Female"	66	
5310	"CRC draft"	"Vote against"	"Urban"	"Male"	52	"ccm"
5402	"Final draft"	"Not sure"	"Urban"	"Female"	69	"ccm"
5403	"Final draft"	"Vote for"	"Urban"	"Female"	34	"chadema"
5404	"CRC draft"	"Vote for"	"Urban"	"Male"	35	"ccm"
5405	"Final draft"	"Vote for"	"Urban"	"Female"	30	"ccm"
5406	"CRC draft"	"Vote for"	"Urban"	"Female"	44	"ccm"
5408	"Don't Know"	"Not sure"	"Urban"	"Female"	26	"ccm"
5409	"CRC draft"	"Vote against"	"Urban"	"Female"	32	"ccm"
5410	"Final draft"	"Vote for"	"Urban"	"Female"	32	"cuf"
5502	"Final draft"	"Vote for"	"Urban"	"Male"	58	"ccm"
5505	"CRC draft"	"Vote for"	"Urban"	"Male"	26	"chadema"
5507	"CRC draft"	"Vote against"	"Urban"	"Female"	58	" none"
5508	"Final draft"	"Vote for"	"Urban"	"Male"	31	"cuf"
5509	"CRC draft"	"Vote for"	"Urban"	"Male"	24	"chadema"
5601	"Final draft"	"Vote for"	"Urban"	"Female"	30	"chadema"
5602	"Final draft"	"Vote for"	"Urban"	"Female"	40	"ccm"
5603	"CRC draft"	"Vote against"	"Urban"	"Female"	49	"cuf"
5604	"Final draft"	"Vote for"	"Urban"	"Female"	27	"ccm"
5605	"Final draft"	"Vote against"	"Urban"	"Female"	53	"ccm"
5606	"Don't Know"	"Vote for"	"Urban"	"Female"	26	"ccm"
5607	"CRC draft"	"Vote for"	"Urban"	"Female"	41	"ccm"
5608	"None"	"I am not going to vote"	"Urban"	"Female"	25	" none"
5609	"CRC draft"	"Vote against"	"Urban"	"Male"	44	"chadema"
5701	"Final draft"	"Vote for"	"Urban"	"Male"	24	"chadema"
5702	"CRC draft"	"I am not going to vote"	"Urban"	"Female"	25	"chadema"
5703	"None"	"Vote for"	"Urban"	"Female"	60	" none"
5704	"Final draft"	"Vote against"	"Urban"	"Male"	58	
5705	"Final draft"	"I am not going to vote"	"Urban"	"Female"	27	"ccm"
5706	"Final draft"	"Vote for"	"Urban"	"Male"	60	"ccm"
5709	"Final draft"	"Vote for"	"Urban"	"Female"	54	"cuf"
5802	"Final draft"	"Vote for"	"Urban"	"Female"	32	" none"
5804	"CRC draft"	"Vote against"	"Urban"	"Male"	26	"ccm"
5806	"Don't Know"	"Vote against"	"Urban"	"Female"	34	"ccm"
5807	"CRC draft"	"Vote against"	"Urban"	"Male"	21	"cuf"
5808	"Final draft"	"Vote for"	"Urban"	"Female"	44	"ccm"
5901	"Final draft"	"Vote for"	"Urban"	"Female"	53	"ccm"
5902	"Final draft"	"I am not going to vote"	"Urban"	"Female"	42	"ccm"
5905	"CRC draft"	"Vote for"	"Urban"	"Female"	40	"chadema"
5907	"Final draft"	"Vote for"	"Urban"	"Female"	46	"ccm"
5908	"Don't Know"	"Not sure"	"Urban"	"Male"	29	
5909	"CRC draft"	"Vote against"	"Urban"	"Female"	27	"chadema"
5910	"CRC draft"	"Vote for"	"Urban"	"Male"	23	"ccm"
6002	"CRC draft"	"Vote against"	"Urban"	"Male"	55	"chadema"
6008	"CRC draft"	"Vote against"	"Urban"	"Male"	47	"ccm"
6010	"CRC draft"	"Vote against"	"Urban"	"Male"	26	" none"
6011	"Final draft"	"Vote for"	"Urban"	"Female"	59	"ccm"
6101	"Don't Know"	"Vote for"	"Urban"	"Female"	38	" none"
6102	"CRC draft"	"Vote against"	"Urban"	"Female"	25	"ccm"
6103	"Don't Know"	"Vote for"	"Urban"	"Female"	38	"ccm"
6104	"Final draft"	"Vote for"	"Urban"	"Female"	18	"ccm"
6105	"Final draft"	"I am not going to vote"	"Urban"	"Female"	30	"chadema"
6106	"Final draft"	"Vote for"	"Urban"	"Male"	32	"ccm"
6107	"CRC draft"	"Vote for"	"Urban"	"Female"	40	"tlp"
6108	"CRC draft"	"Vote against"	"Urban"	"Male"	33	"ccm"
6109	"CRC draft"	"Vote against"	"Urban"	"Male"	34	"chadema"
6110	"Final draft"	"Vote against"	"Urban"	"Female"	49	"ccm"
6201	"CRC draft"	"Vote for"	"Urban"	"Female"	21	"ccm"
6203	"CRC draft"	"Vote for"	"Urban"	"Female"	34	"ccm"
6204	"CRC draft"	"Vote for"	"Urban"	"Male"	26	"cuf"
6206	"Don't Know"	"Vote for"	"Urban"	"Male"	56	"ccm"
6208	"CRC draft"	"Vote for"	"Urban"	"Female"	26	"ccm"
6209	"CRC draft"	"Vote against"	"Urban"	"Female"	30	" none"
6210	"CRC draft"	"Vote against"	"Urban"	"Male"	63	"chadema"
6302	"Final draft"	"Vote for"	"Urban"	"Female"	52	"ccm"
6304	"CRC draft"	"Vote against"	"Urban"	"Male"	60	"udp"
6306	"Final draft"	"I am not going to vote"	"Urban"	"Male"	38	"chadema"
6309	"CRC draft"	"Vote for"	"Urban"	"Female"	25	
6310	"CRC draft"	"Vote against"	"Urban"	"Male"	70	"ccm"
6404	"Don't Know"	"Vote for"	"Rural"	"Female"	30	"ccm"
6409	"Don't Know"	"Vote for"	"Rural"	"Female"	31	"nccr-mag"
6410	"CRC draft"	"Vote against"	"Rural"	"Female"	40	"chadema"
6501	"CRC draft"	"Vote for"	"Urban"	"Female"	25	"tlp"
6505	"CRC draft"	"Vote for"	"Urban"	"Female"	32	"chadema"
6509	"Final draft"	"Vote for"	"Urban"	"Male"	57	"ccm"
6510	"CRC draft"	"Vote for"	"Urban"	"Male"	25	"chadema"
6511	"CRC draft"	"Vote for"	"Urban"	"Female"	49	"ccm"
6602	"CRC draft"	"Vote against"	"Urban"	"Male"	58	"chadema"
6604	"CRC draft"	"Vote for"	"Urban"	"Female"	49	"ccm"
6605	"Final draft"	"Vote for"	"Urban"	"Female"	36	"nccr-mag"
6606	"Don't Know"	"Vote for"	"Urban"	"Male"	44	" none"
6607	"CRC draft"	"Not sure"	"Urban"	"Female"	36	"ccm"
6608	"CRC draft"	"Vote for"	"Urban"	"Female"	32	"chadema"
6609	"CRC draft"	"Vote against"	"Urban"	"Female"	25	"chadema"
6611	"CRC draft"	"Vote for"	"Urban"	"Female"	40	"ccm"
6701	"CRC draft"	"Vote for"	"Urban"	"Female"	25	"ccm"
6704	"CRC draft"	"Vote against"	"Urban"	"Male"	31	"chadema"
6705	"CRC draft"	"Vote for"	"Urban"	"Male"	19	"chadema"
6706	"CRC draft"	"Vote for"	"Urban"	"Female"	18	
6708	"Final draft"	"Vote for"	"Urban"	"Female"	44	" none"
6709	"Final draft"	"Vote for"	"Urban"	"Female"	30	"chadema"
6710	"Final draft"	"Vote against"	"Urban"	"Female"	68	"ccm"
6801	"CRC draft"	"Vote for"	"Urban"	"Male"	63	"ccm"
6802	"CRC draft"	"Vote for"	"Urban"	"Female"	40	"ccm"
6803	"Final draft"	"Vote against"	"Urban"	"Male"	30	"chadema"
6806	"Final draft"	"Vote for"	"Urban"	"Female"	42	"chadema"
6807	"CRC draft"	"Vote against"	"Urban"	"Female"	19	"ccm"
6808	"Don't Know"	"Don't Know"	"Urban"	"Male"	19	"ccm"
6809	"CRC draft"	"Vote for"	"Urban"	"Female"	38	"ccm"
6810	"Final draft"	"Vote for"	"Urban"	"Female"	20	"ccm"
6901	"CRC draft"	"Vote against"	"Urban"	"Male"	35	"chadema"
6902	"Final draft"	"Vote for"	"Urban"	"Female"	53	
6903	"None"	"Vote against"	"Urban"	"Male"	45	"ccm"
6904	"Final draft"	"Vote for"	"Urban"	"Female"	23	"ccm"
6906	"Refused to Answer"	"Vote against"	"Urban"	"Male"	28	" none"
6908	"Don't Know"	"Not sure"	"Urban"	"Female"	25	"chadema"
7002	"Final draft"	"Vote for"	"Urban"	"Female"	34	"cuf"
7003	"Final draft"	"Vote for"	"Urban"	"Male"	67	"ccm"
7004	"Final draft"	"Vote for"	"Urban"	"Male"	20	"chadema"
7006	"Final draft"	"Not sure"	"Urban"	"Male"	25	
7007	"CRC draft"	"I am not going to vote"	"Urban"	"Female"	32	"cuf"
7010	"CRC draft"	"Not sure"	"Urban"	"Female"	33	" none"
7012	"Don't Know"	"I am not going to vote"	"Urban"	"Female"	36	"ccm"
7101	"Final draft"	"Vote for"	"Urban"	"Female"	23	"ccm"
7102	"CRC draft"	"Vote against"	"Urban"	"Female"	27	" none"
7105	"Final draft"	"Vote for"	"Urban"	"Female"	29	"chadema"
7109	"CRC draft"	"Vote against"	"Urban"	"Female"	42	" none"
7110	"None"	"I am not going to vote"	"Urban"	"Male"	62	"chadema"
7202	"Final draft"	"Vote against"	"Urban"	"Female"	36	
7203	"Final draft"	"Vote for"	"Urban"	"Male"	22	
7204	"Final draft"	"Vote for"	"Urban"	"Male"	43	" none"
7206	"Final draft"	"Vote for"	"Urban"	"Female"	40	"ccm"
7207	"Don't Know"	"Vote against"	"Urban"	"Female"	42	"ccm"
7209	"Final draft"	"Vote for"	"Urban"	"Female"	38	"cuf"
7210	"Final draft"	"Vote for"	"Urban"	"Female"	32	"ccm"
7301	"CRC draft"	"Vote for"	"Urban"	"Male"	53	"ccm"
7302	"CRC draft"	"Vote for"	"Urban"	"Male"	26	"ccm"
7303	"Final draft"	"Vote for"	"Urban"	"Female"	28	
7305	"Final draft"	"Vote for"	"Urban"	"Female"	29	"ccm"
7307	"Don't Know"	"Not sure"	"Urban"	"Male"	27	"chadema"
7308	"Final draft"	"Vote for"	"Urban"	"Female"	32	"cuf"
7310	"Final draft"	"Vote for"	"Urban"	"Female"	30	"ccm"
7401	"CRC draft"	"Vote against"	"Urban"	"Female"	25	"ccm"
7402	"Don't Know"	"Vote for"	"Urban"	"Female"	59	"ccm"
7403	"Don't Know"	"Vote for"	"Urban"	"Female"	30	"cuf"
7407	"CRC draft"	"Vote against"	"Urban"	"Female"	37	"ccm"
7408	"Final draft"	"Not sure"	"Urban"	"Female"	51	"ccm"
7410	"Final draft"	"Vote for"	"Urban"	"Female"	20	"chadema"
7501	"Final draft"	"Vote for"	"Urban"	"Female"	38	"ccm"
7503	"Final draft"	"Vote for"	"Urban"	"Female"	28	"tlp"
7506	"CRC draft"	"Vote against"	"Urban"	"Male"	34	"chadema"
7601	"Final draft"	"Vote for"	"Urban"	"Female"	26	"ccm"
7602	"Final draft"	"Vote for"	"Urban"	"Male"	20	"nccr-mag"
7604	"Final draft"	"Vote for"	"Urban"	"Male"	30	"ccm"
7606	"CRC draft"	"Vote against"	"Urban"	"Male"	40	"ccm"
7607	"Final draft"	"Vote for"	"Urban"	"Female"	47	" none"
7608	"Final draft"	"Vote for"	"Urban"	"Female"	36	"ccm"
7612	"Final draft"	"Vote for"	"Urban"	"Male"	37	"nccr-mag"
7701	"Don't Know"	"Not sure"	"Urban"	"Female"	23	"chadema"
7703	"Final draft"	"Vote for"	"Urban"	"Female"	20	"ccm"
7704	"CRC draft"	"Vote for"	"Urban"	"Female"	40	"chadema"
7705	"Don't Know"	"Vote for"	"Urban"	"Female"	61	
7708	"CRC draft"	"I am not going to vote"	"Urban"	"Female"	36	"chadema"
7709	"Final draft"	"Vote against"	"Urban"	"Female"	36	" none"
7801	"Don't Know"	"Vote for"	"Rural"	"Male"	30	"cuf"
7802	"Final draft"	"Vote for"	"Rural"	"Male"	28	" none"
7803	"CRC draft"	"Vote for"	"Rural"	"Female"	31	"ccm"
7804	"Final draft"	"Vote for"	"Rural"	"Male"	32	"tlp"
7805	"CRC draft"	"Vote for"	"Rural"	"Male"	31	"nccr-mag"
7806	"CRC draft"	"Vote against"	"Rural"	"Male"	39	"cuf"
7807	"CRC draft"	"Vote against"	"Rural"	"Female"	49	"ccm"
7808	"Final draft"	"Vote for"	"Rural"	"Male"	37	"ccm"
7809	"Final draft"	"Vote against"	"Rural"	"Female"	60	"chadema"
7902	"Final draft"	"Vote for"	"Rural"	"Female"	46	"cuf"
7903	"Final draft"	"Vote for"	"Rural"	"Female"	58	"ccm"
7907	"CRC draft"	"Vote against"	"Rural"	"Female"	59	
7908	"Final draft"	"Don't Know"	"Rural"	"Female"	54	"ccm"
8001	"Final draft"	"Vote for"	"Rural"	"Male"	40	"i don't"
8002	"Final draft"	"Vote for"	"Rural"	"Male"	39	"cuf"
8004	"Don't Know"	"Vote for"	"Rural"	"Male"	43	"ccm"
8005	"Don't Know"	"Not sure"	"Rural"	"Female"	36	"ccm"
8006	"Final draft"	"Vote for"	"Rural"	"Female"	42	"ccm"
8007	"CRC draft"	"Not sure"	"Rural"	"Male"	30	"ccm"
8008	"CRC draft"	"Vote for"	"Rural"	"Male"	56	"ccm"
8010	"CRC draft"	"Vote for"	"Rural"	"Female"	30	
8101	"Don't Know"	"I am not going to vote"	"Rural"	"Male"	40	"ccm"
8102	"CRC draft"	"Vote against"	"Rural"	"Female"	41	"ccm"
8104	"CRC draft"	"Vote against"	"Rural"	"Male"	47	"ccm"
8105	"Final draft"	"Vote for"	"Rural"	"Female"	22	"ccm"
8106	"CRC draft"	"Vote for"	"Rural"	"Male"	34	"ccm"
8107	"Final draft"	"Vote against"	"Rural"	"Male"	21	" none"
8108	"None"	"Vote against"	"Rural"	"Female"	43	
8109	"Final draft"	"Vote for"	"Rural"	"Female"	37	"ccm"
8201	"CRC draft"	"Vote against"	"Urban"	"Male"	30	"cuf"
8202	"Final draft"	"Vote for"	"Urban"	"Female"	23	" none"
8203	"Final draft"	"Vote against"	"Urban"	"Female"	24	
8204	"Final draft"	"Vote for"	"Urban"	"Male"	44	"ccm"
8206	"CRC draft"	"Vote for"	"Urban"	"Male"	24	
8207	"Final draft"	"I am not going to vote"	"Urban"	"Female"	46	"ccm"
8209	"Final draft"	"Vote against"	"Urban"	"Female"	19	"ccm"
8210	"CRC draft"	"Vote for"	"Urban"	"Female"	36	"chadema"
8301	"CRC draft"	"Vote for"	"Rural"	"Male"	41	"ccm"
8302	"Don't Know"	"Don't Know"	"Rural"	"Female"	34	"cuf"
8304	"Final draft"	"Vote for"	"Rural"	"Male"	44	"ccm"
8305	"Don't Know"	"Not sure"	"Rural"	"Female"	65	"ccm"
8307	"None"	"I am not going to vote"	"Rural"	"Female"	40	" none"
8308	"Final draft"	"Vote for"	"Rural"	"Male"	48	"cuf"
8309	"Final draft"	"Vote for"	"Rural"	"Female"	32	"cuf"
8310	"Don't Know"	"Vote against"	"Rural"	"Female"	51	"cuf"
8402	"Final draft"	"Vote against"	"Rural"	"Male"	32	"chadema"
8403	"Final draft"	"Vote for"	"Rural"	"Female"	30	
8405	"CRC draft"	"Vote for"	"Rural"	"Male"	60	"ccm"
8406	"Final draft"	"Vote for"	"Rural"	"Male"	38	"ccm"
8407	"CRC draft"	"Vote for"	"Rural"	"Female"	31	"cuf"
8501	"Final draft"	"Vote for"	"Rural"	"Female"	34	"ccm"
8502	"Final draft"	"Vote for"	"Rural"	"Female"	28	"ccm"
8503	"CRC draft"	"Vote for"	"Rural"	"Female"	45	"ccm"
8504	"Final draft"	"Vote against"	"Rural"	"Male"	54	"ccm"
8505	"CRC draft"	"Vote against"	"Rural"	"Female"	63	"ccm"
8506	"Final draft"	"Vote for"	"Rural"	"Female"	39	"ccm"
8507	"CRC draft"	"Vote for"	"Rural"	"Female"	32	"ccm"
8508	"CRC draft"	"Vote against"	"Rural"	"Female"	27	"chadema"
8509	"CRC draft"	"Vote for"	"Rural"	"Male"	21	
8602	"Final draft"	"Vote for"	"Rural"	"Male"	64	"ccm"
8603	"Final draft"	"Vote against"	"Rural"	"Female"	20	"chadema"
8604	"Don't Know"	"Don't Know"	"Rural"	"Male"	33	"chadema"
8605	"Don't Know"	"Not sure"	"Rural"	"Female"	34	" none"
8606	"Don't Know"	"Not sure"	"Rural"	"Female"	63	"ccm"
8607	"Final draft"	"Vote for"	"Rural"	"Female"	66	
8608	"Don't Know"	"Not sure"	"Rural"	"Female"	38	"chadema"
8609	"Final draft"	"Vote for"	"Rural"	"Male"	54	"cuf"
8610	"Final draft"	"Vote against"	"Rural"	"Female"	32	
8701	"CRC draft"	"Vote for"	"Rural"	"Female"	30	"ccm"
8702	"None"	"I am not going to vote"	"Rural"	"Male"	23	"ccm"
8703	"Final draft"	"Vote against"	"Rural"	"Female"	61	"ccm"
8704	"None"	"I am not going to vote"	"Rural"	"Female"	57	
8705	"CRC draft"	"Vote for"	"Rural"	"Male"	33	"chadema"
8706	"Final draft"	"Vote for"	"Rural"	"Female"	24	
8707	"Final draft"	"Vote against"	"Rural"	"Female"	55	"ccm"
8708	"Final draft"	"Vote for"	"Rural"	"Female"	75	"chadema"
8709	"Final draft"	"Vote for"	"Rural"	"Female"	23	"i don't"
8802	"CRC draft"	"Vote against"	"Rural"	"Female"	20	"ccm"
8803	"CRC draft"	"Vote for"	"Rural"	"Male"	29	"chadema"
8804	"Final draft"	"Vote against"	"Rural"	"Male"	27	"ccm"
8805	"Don't Know"	"Vote for"	"Rural"	"Female"	22	"cuf"
8806	"Don't Know"	"I am not going to vote"	"Rural"	"Male"	32	"chadema"
8808	"Final draft"	"I am not going to vote"	"Rural"	"Male"	47	"chadema"
8810	"None"	"I am not going to vote"	"Rural"	"Male"	58	"ccm"
8812	"Final draft"	"Vote for"	"Rural"	"Male"	43	"chadema"
8901	"Don't Know"	"Not sure"	"Urban"	"Male"	32	" none"
8903	"Final draft"	"Vote against"	"Urban"	"Female"	35	"ccm"
8906	"Final draft"	"Vote for"	"Urban"	"Female"	55	"ccm"
8907	"Don't Know"	"Not sure"	"Urban"	"Female"	38	"cuf"
8910	"Don't Know"	"Vote for"	"Urban"	"Female"	48	"chadema"
9002	"CRC draft"	"Vote for"	"Rural"	"Male"	24	
9004	"Final draft"	"Vote against"	"Rural"	"Male"	60	"cuf"
9007	"None"	"Vote for"	"Rural"	"Female"	32	"ccm"
9009	"Don't Know"	"Vote for"	"Rural"	"Female"	30	" none"
9011	"Final draft"	"Vote for"	"Rural"	"Male"	54	"ccm"
9101	"Final draft"	"Vote for"	"Rural"	"Male"	65	" none"
9102	"CRC draft"	"Vote against"	"Rural"	"Male"	26	"ccm"
9103	"CRC draft"	"Vote for"	"Rural"	"Male"	35	"cuf"
9104	"CRC draft"	"Vote for"	"Rural"	"Male"	20	"cuf"
9105	"Final draft"	"Vote for"	"Rural"	"Male"	30	
9106	"Final draft"	"Vote for"	"Rural"	"Male"	45	
9107	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	50	"cuf"
9110	"Final draft"	"Vote for"	"Rural"	"Male"	49	"ccm"
9203	"Final draft"	"Vote for"	"Rural"	"Male"	32	
9208	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	67	"nccr-mag"
9212	"Final draft"	"Vote against"	"Rural"	"Male"	33	"ccm"
9301	"Don't Know"	"Vote against"	"Urban"	"Male"	54	"ccm"
9302	"CRC draft"	"Vote against"	"Urban"	"Female"	26	
9303	"CRC draft"	"Vote against"	"Urban"	"Male"	55	"ccm"
9305	"Don't Know"	"Vote for"	"Urban"	"Male"	21	"ccm"
9306	"Final draft"	"Vote for"	"Urban"	"Female"	48	"ccm"
9308	"Final draft"	"Vote for"	"Urban"	"Female"	31	"ccm"
9309	"Final draft"	"Vote against"	"Urban"	"Female"	25	"ccm"
9310	"Final draft"	"Vote for"	"Urban"	"Female"	34	"ccm"
9401	"Final draft"	"Vote for"	"Urban"	"Male"	42	" none"
9402	"Final draft"	"Vote for"	"Urban"	"Male"	23	"chadema"
9403	"CRC draft"	"Vote against"	"Urban"	"Female"	24	"ccm"
9404	"CRC draft"	"Vote against"	"Urban"	"Male"	30	"ccm"
9405	"CRC draft"	"Vote for"	"Urban"	"Female"	26	
9406	"Final draft"	"Vote for"	"Urban"	"Male"	42	"chadema"
9408	"CRC draft"	"Vote against"	"Urban"	"Male"	38	"chadema"
9409	"Final draft"	"Vote for"	"Urban"	"Male"	30	" none"
9410	"CRC draft"	"Vote for"	"Urban"	"Female"	24	"ccm"
9501	"Final draft"	"Vote for"	"Rural"	"Female"	42	"chadema"
9502	"Final draft"	"Vote for"	"Rural"	"Male"	25	"ccm"
9503	"CRC draft"	"Vote for"	"Rural"	"Male"	42	"chadema"
9504	"Final draft"	"Not sure"	"Rural"	"Female"	26	"chadema"
9507	"CRC draft"	"Vote against"	"Rural"	"Male"	30	"chadema"
9510	"Don't Know"	"Not sure"	"Rural"	"Female"	45	
9511	"CRC draft"	"Vote against"	"Rural"	"Male"	28	
9601	"Final draft"	"Vote for"	"Rural"	"Male"	55	"ccm"
9602	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	24	"ccm"
9603	"CRC draft"	"Vote for"	"Rural"	"Male"	33	"ccm"
9604	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	50	"ccm"
9606	"Don't Know"	"Vote against"	"Rural"	"Male"	53	"ccm"
9607	"Final draft"	"Vote for"	"Rural"	"Male"	22	"ccm"
9608	"Don't Know"	"Vote for"	"Rural"	"Male"	23	
9609	"None"	"Vote against"	"Rural"	"Male"	37	"chadema"
9610	"Final draft"	"Vote for"	"Rural"	"Female"	37	"ccm"
9701	"Final draft"	"Vote for"	"Rural"	"Male"	38	"ccm"
9702	"CRC draft"	"Vote for"	"Rural"	"Male"	37	"ccm"
9703	"CRC draft"	"Vote for"	"Rural"	"Male"	35	"chadema"
9705	"CRC draft"	"Vote against"	"Rural"	"Male"	25	"ccm"
9706	"Final draft"	"Vote against"	"Rural"	"Male"	42	"ccm"
9707	"Don't Know"	"Vote for"	"Rural"	"Female"	73	"nccr-mag"
9709	"CRC draft"	"I am not going to vote"	"Rural"	"Male"	36	"ccm"
9710	"CRC draft"	"Vote against"	"Rural"	"Male"	48	"ccm"
9801	"CRC draft"	"Vote against"	"Rural"	"Male"	39	"ccm"
9802	"Final draft"	"Vote against"	"Rural"	"Male"	26	"chadema"
9803	"Final draft"	"Vote for"	"Rural"	"Male"	26	"chadema"
9805	"CRC draft"	"I am not going to vote"	"Rural"	"Female"	23	"ccm"
9806	"Don't Know"	"I am not going to vote"	"Rural"	"Male"	52	"ccm"
9807	"Final draft"	"Vote for"	"Rural"	"Female"	39	"ccm"
9808	"CRC draft"	"Vote against"	"Rural"	"Male"	28	"ccm"
9901	"CRC draft"	"Vote against"	"Rural"	"Female"	24	
9902	"Final draft"	"I am not going to vote"	"Rural"	"Male"	40	"ccm"
9904	"Final draft"	"Vote for"	"Rural"	"Male"	22	"ccm"
9907	"Don't Know"	"Vote for"	"Rural"	"Male"	43	"chadema"
9908	"Final draft"	"Not sure"	"Rural"	"Female"	33	"ccm"
9909	"Final draft"	"Vote against"	"Rural"	"Male"	40	"ccm"
9910	"None"	"Not sure"	"Rural"	"Male"	45	"ccm"
9911	"Final draft"	"Vote for"	"Rural"	"Male"	35	"ccm"
10001	"CRC draft"	"Vote for"	"Rural"	"Male"	43	"ccm"
10002	"CRC draft"	"Vote for"	"Rural"	"Male"	42	"ccm"
10003	"Final draft"	"Vote for"	"Rural"	"Female"	29	"ccm"
10005	"CRC draft"	"Vote against"	"Rural"	"Male"	19	"ccm"
10006	"Final draft"	"Vote for"	"Rural"	"Female"	30	"chadema"
10007	"Don't Know"	"Vote against"	"Rural"	"Female"	30	"ccm"
10008	"Final draft"	"Vote against"	"Rural"	"Female"	31	" none"
10009	"None"	"Vote against"	"Rural"	"Male"	40	"ccm"
10010	"Final draft"	"Vote for"	"Rural"	"Male"	30	"ccm"
10101	"CRC draft"	"Vote for"	"Urban"	"Female"	22	"i don't"
10102	"Final draft"	"Not sure"	"Urban"	"Female"	33	
10103	"CRC draft"	"Vote for"	"Urban"	"Female"	49	"ccm"
10104	"Final draft"	"Vote against"	"Urban"	"Female"	37	"ccm"
10106	"Final draft"	"Vote for"	"Urban"	"Male"	47	"chadema"
10107	"CRC draft"	"Vote against"	"Urban"	"Female"	32	"ccm"
10109	"None"	"Not sure"	"Urban"	"Male"	25	"chadema"
10110	"Final draft"	"Vote for"	"Urban"	"Male"	55	"chadema"
10201	"CRC draft"	"Vote against"	"Rural"	"Male"	50	"ccm"
10202	"CRC draft"	"Not sure"	"Rural"	"Male"	47	"ccm"
10205	"Final draft"	"Vote against"	"Rural"	"Female"	33	" none"
10206	"Final draft"	"Vote for"	"Rural"	"Male"	23	"chadema"
10207	"CRC draft"	"Vote against"	"Rural"	"Female"	40	"ccm"
10209	"Final draft"	"Not sure"	"Rural"	"Male"	42	"ccm"
10210	"Final draft"	"Vote for"	"Rural"	"Male"	45	"ccm"
10212	"Final draft"	"Not sure"	"Rural"	"Female"	30	
10303	"Don't Know"	"Not sure"	"Rural"	"Male"	42	
10304	"Final draft"	"Vote against"	"Rural"	"Male"	23	
10305	"Final draft"	"Vote for"	"Rural"	"Male"	30	
10307	"Final draft"	"Vote against"	"Rural"	"Male"	48	"ccm"
10308	"CRC draft"	"Vote for"	"Rural"	"Male"	52	
10309	"Final draft"	"Vote for"	"Rural"	"Male"	34	"ccm"
10402	"Final draft"	"Vote against"	"Rural"	"Female"	36	" none"
10404	"Final draft"	"Vote for"	"Rural"	"Female"	30	
10406	"Final draft"	"Vote for"	"Rural"	"Female"	31	"ccm"
10407	"Final draft"	"Vote for"	"Rural"	"Male"	31	
10408	"CRC draft"	"Vote for"	"Rural"	"Male"	52	"chadema"
10409	"CRC draft"	"Vote against"	"Rural"	"Male"	56	"ccm"
10410	"CRC draft"	"Vote for"	"Rural"	"Male"	58	"ccm"
10411	"CRC draft"	"Vote against"	"Rural"	"Male"	76	"ccm"
10501	"CRC draft"	"Vote for"	"Rural"	"Male"	36	"ccm"
10502	"Final draft"	"Vote for"	"Rural"	"Male"	46	"ccm"
10506	"Don't Know"	"Not sure"	"Rural"	"Female"	32	"ccm"
10507	"Final draft"	"Vote for"	"Rural"	"Male"	33	"ccm"
10508	"Final draft"	"Vote against"	"Rural"	"Male"	44	"ccm"
10509	"CRC draft"	"Don't Know"	"Rural"	"Female"	32	"ccm"
10512	"CRC draft"	"Vote against"	"Rural"	"Male"	47	"ccm"
10601	"Final draft"	"Vote for"	"Urban"	"Female"	22	" refused"
10602	"Final draft"	"I am not going to vote"	"Urban"	"Male"	40	"ccm"
10603	"CRC draft"	"Vote for"	"Urban"	"Male"	50	"chadema"
10604	"Don't Know"	"Vote against"	"Urban"	"Male"	60	"ccm"
10605	"Don't Know"	"Not sure"	"Urban"	"Female"	50	"ccm"
10606	"Final draft"	"Vote for"	"Urban"	"Female"	50	"chadema"
10607	"Final draft"	"Vote for"	"Urban"	"Male"	66	"chadema"
10609	"Don't Know"	"Not sure"	"Urban"	"Female"	44	"chadema"
10610	"Final draft"	"Vote against"	"Urban"	"Male"	44	"chadema"
10701	"Final draft"	"Not sure"	"Rural"	"Male"	34	"ccm"
10702	"CRC draft"	"Vote for"	"Rural"	"Male"	30	"ccm"
10703	"Final draft"	"Vote against"	"Rural"	"Male"	35	"ccm"
10704	"CRC draft"	"Vote against"	"Rural"	"Male"	42	"ccm"
10705	"CRC draft"	"Not sure"	"Rural"	"Female"	30	"ccm"
10706	"CRC draft"	"Not sure"	"Rural"	"Female"	31	"ccm"
10707	"Final draft"	"Vote for"	"Rural"	"Male"	60	"ccm"
10708	"CRC draft"	"Vote against"	"Rural"	"Male"	31	"ccm"
